method,variant,query_mode,min_collisions,fixed_query_radius,annulus_count,delta,radius_factor,bandwidth_factor,point_precision,point_recall,point_f1,point_fp_ratio,point_fn_ratio,kernel_weighted_recall,kernel_weighted_fp_ratio,kernel_weighted_fn_ratio,signed_kde_bias,kde_abs_relative_error,candidate_expansion_ratio,candidate_size,kde_sample_size,query_time_ms,filter_time_ms,kde_time_ms,build_time_s,raw_hash_size,outer_prefilter_size,inner_prefilter_size,outer_hash_size,inner_hash_size,ring_count,mean_ring_size,max_ring_size,dataset,total_sample_budget,allocation_mode,schedule_base,strict_total_sample_budget,norm_percentile,delta_divisions,norm_quantile,delta_factor_equiv,base_radius,L,K,radius_percentile,hamming_probe,wall_time_s,kde_quality,speed_quality,score_kde,feasible
MECH,full,radius_first,2,30.461905097961424,2,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.5169407539929415,0.5330425971157765,3.458526736936535,761.0,499.1025641025641,4.979837589742759,0.9663599487190129,3.9973203846138188,0.14551491600001043,761.0,785.0,782.8717948717949,761.0,744.6410256410256,2.0,380.5,744.6410256410256,amazon,500,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,1.443630916999993,0.4669574028842235,0.0,0.5422232699546888,True
MECH,full,radius_first,2,30.461905097961424,4,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.5187139865696764,0.5996766152644435,3.458526736936535,761.0,237.5897435897436,3.359838666667131,1.1070352307685793,2.2364935384633813,0.14551491600001043,761.0,785.0,785.0,761.0,750.7435897435897,4.0,190.25,685.2307692307693,amazon,250,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,0.9612551250000081,0.4003233847355565,0.32531159779435925,0.5381057197523579,True
MECH,full,radius_first,2,30.461905097961424,6,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.6146907111980849,0.6658632596265536,3.458526736936535,761.0,165.71794871794873,2.5953086410252215,1.1385245897427827,1.45319025641008,0.14551491600001043,761.0,785.0,785.0,761.0,750.7435897435897,6.0,126.83333333333333,607.5384615384615,amazon,170,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,0.7600319169999921,0.33413674037344643,0.4788366901019184,0.5170555745839533,True
MECH,full,radius_first,2,30.461905097961424,8,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.4076200923773053,0.5623415793245871,3.458526736936535,761.0,118.0,2.6105556153849783,1.2927959487176222,1.2866430769239747,0.14551491600001043,761.0,785.0,785.0,761.0,754.0,8.0,95.125,518.7948717948718,amazon,120,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,0.7525345829999992,0.43765842067541294,0.47577494881317395,0.5736863246211604,True
MECH,full,radius_first,2,30.461905097961424,10,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.4140673179943927,0.606998575060269,3.458526736936535,761.0,99.76923076923077,2.406675256409585,1.3126751794870346,1.0900234871779702,0.14551491600001043,761.0,785.0,785.0,761.0,755.3846153846154,10.0,76.10000000000001,502.84615384615387,amazon,100,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,0.6940213750000055,0.393001424939731,0.5167161151265768,0.5532190935978757,True
MECH,full,radius_first,2,30.461905097961424,12,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.4147017346526701,0.5727588153318859,3.458526736936535,761.0,80.0,2.414619666666704,1.4055255897442265,1.0082275897422603,0.14551491600001043,761.0,785.0,785.0,761.0,756.3589743589744,12.0,63.416666666666664,464.6666666666667,amazon,80,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,0.6940291659999929,0.4272411846681141,0.5151207999955205,0.5718914299353808,True
MECH,full,radius_first,2,30.461905097961424,14,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.6869942775426096,0.8294873941252043,3.458526736936535,761.0,70.0,2.495936948719555,1.5236335897449238,0.9709135128216617,0.14551491600001043,761.0,785.0,785.0,761.0,756.3589743589744,14.0,54.35714285714285,438.0769230769231,amazon,70,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,0.7162600829999946,0.17051260587479566,0.49879149595951255,0.42905778119545485,True
MECH,full,radius_first,2,30.461905097961424,16,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.3914757781008101,0.6062833421011143,3.458526736936535,761.0,60.0,2.586182641024219,1.6494636923075252,0.9363611282035086,0.14551491600001043,761.0,785.0,785.0,761.0,757.2820512820513,16.0,47.5625,427.5897435897436,amazon,60,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,0.7406878330000097,0.39371665789888566,0.48066927998794196,0.5500077882115473,True
MECH,full,radius_first,2,30.461905097961424,18,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.41507829412791725,0.6068092697463335,3.458526736936535,761.0,59.97435897435897,2.677270282050542,1.723043743590088,0.9423462307693579,0.14551491600001043,761.0,785.0,785.0,761.0,757.2820512820513,18.0,42.27777777777778,408.20512820512823,amazon,60,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,0.7634647080000008,0.39319073025366647,0.4623779924941608,0.5478893992572986,True
MECH,full,radius_first,2,30.461905097961424,20,2.6713603337605796,1.0,0.25,0.5840328253015092,0.9227369330369835,0.6723287450731285,2.535789803899551,0.07726306696301652,0.9162881775593743,0.5862882689971084,0.08371181854599738,0.44967369562405135,0.5867156233227548,3.458526736936535,761.0,50.0,2.714672076923928,1.8254102564109569,0.8850501282040568,0.14551491600001043,761.0,785.0,785.0,761.0,757.6153846153846,20.0,38.050000000000004,384.15384615384613,amazon,50,pilot_neyman_total_budget,1000,True,25,12,32.05632400512695,0.0935084174748777,28.56812686920166,12,5,70,2,0.7747388340000043,0.41328437667724516,0.45486734697623776,0.5581898402384745,True
